name,value,unit,low,high,basis,source,status,note
chip_cost,36586,USD,,,derived,"S-1 p.F-29, p.2",proposed,"Technology equipment, gross 9,146,575 thousand divided by more than 250,000 GPUs at Dec 31, 2024. A fleet average that includes servers and networking and excludes construction in progress. Compare with the model's capex per MW added (Outputs sheet), which is the same idea measured from cash flows."
power_draw_kw,1.44,kW,,,derived,S-1 p.2,proposed,"More than 360 MW of active power divided by more than 250,000 GPUs at Dec 31, 2024. Facility-level power per GPU, so cooling and non-GPU load are already inside it. This is the ONE assumption that converts disclosed MW into GPU counts; every per-GPU line scales with it, the per-MW lines do not use it."
pue,1.0,ratio,,,judgment,,proposed,"Not used by the CoreWeave model: the per-GPU lines pin PUE at 1.0 in companies/coreweave.py because power_draw_kw is measured at the facility meter, so cooling is already inside it. Kept so the engine's inputs are complete."
electricity_price_kwh,0,USD/kWh,,,judgment,,proposed,"Not used by the CoreWeave model: pinned at 0 in companies/coreweave.py because each quarter's cash cost per GPU-hour is measured from revenue less adjusted EBITDA, which already contains energy. Kept so the engine's inputs are complete."
utilization,1.0,share,,,judgment,,proposed,"Not used by the CoreWeave model: pinned at 1.0 in companies/coreweave.py because revenue is measured per INSTALLED GPU-hour (quarterly revenue over average installed capacity), so idle and not-yet-billing GPUs are already inside that figure."
tokens_per_sec,0,tokens/s,,,judgment,,proposed,Not applicable. CoreWeave sells GPU-hours and not tokens (S-1 p.95).
price_per_m_tokens,0,USD/M tokens,,,judgment,,proposed,Not applicable. See tokens_per_sec.
depreciation_years,6,years,4,6,disclosed,"S-1 p.F-16, p.F-15",proposed,"Accounting life of technology equipment. It was raised from five to six years on Jan 1, 2023. The economic life may be shorter if new GPU generations push rental prices down (risk factors p.33, p.44), which is why the low end is 4."
financing_rate,0.11,decimal,0.105,0.15,disclosed,"S-1 p.F-34, p.F-41, p.F-39",proposed,"Cost of money applied to the GPUs already bought, for the per-GPU capital charge: the effective rate on DDTL 2.0, the facility that funded the 2024-25 fleet (S-1). Low is the actual average rate charged on DDTL 2.0 (10.53%); high is the effective rate on the older DDTL 1.0 (15%). Debt only; equity would want more. The forecast's interest line uses cost_of_debt instead, the rate on the marginal dollar, because the two questions differ: what did the installed fleet cost to finance, and what will the next GPU cost to finance."
price_per_gpu_hour,0,USD/GPU-hour,,,judgment,,proposed,Not used: the model computes revenue per installed GPU-hour for each quarter from reported revenue and disclosed capacity (see the Outputs sheet). Kept at 0 so the engine's rental mode has a defined input.
facility_cost_per_kw_month,0,USD/kW-month,,,judgment,,proposed,Not used by the CoreWeave model: pinned at 0 in companies/coreweave.py because data-centre leases are inside the cash cost measured from revenue less adjusted EBITDA.
other_opex_per_gpu_hour,0,USD/GPU-hour,,,judgment,,proposed,"Not used: each quarter's cash cost per GPU-hour is revenue less adjusted EBITDA over installed GPU-hours, computed by the model. Kept at 0."
idle_power_share,1.0,share,,,judgment,,proposed,No effect while electricity_price_kwh is zero.
residual_value_share,0,share,0,0.2,judgment,,proposed,Cautious default. The S-1 gives no resale or redeployment value for retired GPUs.
disclosed_cash_payback_years,2.5,years,,,disclosed,S-1 p.97,proposed,"Not an input. The company's own average cash payback on committed contracts at Dec 31, 2024, measured per GPU through adjusted EBITDA and net of customer prepayments. Shown beside the model's payback as a check."
